Date,Average
1/1/2013,30.6
1/2/2013,30.2
1/3/2013,29.7
1/4/2013,28
1/5/2013,26.9
1/6/2013,26.6
1/7/2013,27.4
1/8/2013,27.2
1/9/2013,27.7
1/10/2013,31.1
1/11/2013,29.7
1/12/2013,30.2
1/13/2013,27.5
1/14/2013,26.5
1/15/2013,26.8
1/16/2013,27.1
1/17/2013,27.8
1/18/2013,27.9
1/19/2013,31.8
1/20/2013,29
1/21/2013,28.4
1/22/2013,32.1
1/23/2013,34.5
1/24/2013,29.4
1/25/2013,28.4
1/26/2013,27.6
1/27/2013,27.3
1/28/2013,27.4
1/29/2013,29.7
1/30/2013,28
1/31/2013,26.4
2/1/2013,31.1
2/2/2013,27.8
2/3/2013,27.4
2/4/2013,26.5
2/5/2013,26.7
2/6/2013,28.8
2/7/2013,29.2
2/8/2013,26.1
2/9/2013,26.1
2/10/2013,28.2
2/11/2013,29
2/12/2013,26.8
2/13/2013,25.7
2/14/2013,25.2
2/15/2013,25.2
2/16/2013,25
2/17/2013,26.5
2/18/2013,27.1
2/19/2013,34
2/20/2013,40.5
2/21/2013,33.7
2/22/2013,30.3
2/23/2013,29.9
2/24/2013,30.4
2/25/2013,29
2/26/2013,32.3
2/27/2013,28.8
2/28/2013,30
3/1/2013,28.6
3/2/2013,26.7
3/3/2013,26.9
3/4/2013,26.4
3/5/2013,26.9
3/6/2013,26.9
3/7/2013,27.9
3/8/2013,27.7
3/9/2013,33.7
3/10/2013,31.6
3/11/2013,30.5
3/12/2013,31.2
3/13/2013,34.7
3/14/2013,36.8
3/15/2013,31.3
3/16/2013,30.4
3/17/2013,28.9
3/18/2013,26.4
3/19/2013,27.3
3/20/2013,26.8
3/21/2013,25.9
3/22/2013,25.9
3/23/2013,27.4
3/24/2013,35.4
3/25/2013,33.7
3/26/2013,34.1
3/27/2013,36.7
3/28/2013,34.4
3/29/2013,36.3
3/30/2013,46.5
3/31/2013,40.1
4/1/2013,35.8
4/2/2013,36.2
4/3/2013,42.5
4/4/2013,37.4
4/5/2013,38.1
4/6/2013,34.2
4/7/2013,40.1
4/8/2013,38.4
4/9/2013,35.7
4/10/2013,35.5
4/11/2013,37
4/12/2013,33.1
4/13/2013,36.8
4/14/2013,39
4/15/2013,35.8
4/16/2013,40.7
4/17/2013,35.3
4/18/2013,47.8
4/19/2013,41
4/20/2013,34.2
4/21/2013,33.2
4/22/2013,33.8
4/23/2013,33.1
4/24/2013,30.2
4/25/2013,29.3
4/26/2013,29.6
4/27/2013,31.9
4/28/2013,32.9
4/29/2013,38.4
4/30/2013,42.8
5/1/2013,41.4
5/2/2013,40.5
5/3/2013,39.9
5/4/2013,42.8
5/5/2013,37.1
5/6/2013,32.6
5/7/2013,30
5/8/2013,34.7
5/9/2013,41.6
5/10/2013,39.2
5/11/2013,41.1
5/12/2013,36
5/13/2013,34
5/14/2013,34
5/15/2013,34.3
5/16/2013,31.2
5/17/2013,28.6
5/18/2013,31.5
5/19/2013,38.3
5/20/2013,40.2
5/21/2013,37.7
5/22/2013,33.8
5/23/2013,32.3
5/24/2013,30.6
5/25/2013,30.2
5/26/2013,34.3
5/27/2013,33.4
5/28/2013,32.9
5/29/2013,30.6
5/30/2013,33.9
5/31/2013,32.2
6/1/2013,34.9
6/2/2013,30.2
6/3/2013,28.2
6/4/2013,31.2
6/5/2013,30.7
6/6/2013,25.7
6/7/2013,30.6
6/8/2013,28.2
6/9/2013,26.5
6/10/2013,29.2
6/11/2013,29.8
6/12/2013,30.1
6/13/2013,26.6
6/14/2013,25.7
6/15/2013,31.2
6/16/2013,25.9
6/17/2013,25.7
6/18/2013,28.9
6/19/2013,32.1
6/20/2013,29.6
6/21/2013,33.5
6/22/2013,34.4
6/23/2013,31.1
6/24/2013,36.5
6/25/2013,34.4
6/26/2013,34.4
6/27/2013,28.3
6/28/2013,27.7
6/29/2013,29.5
6/30/2013,27.8
7/1/2013,30.1
7/2/2013,26.1
7/3/2013,25.5
7/4/2013,25.6
7/5/2013,26.1
7/6/2013,24.4
7/7/2013,28.7
7/8/2013,31
7/9/2013,28
7/10/2013,31
7/11/2013,31.7
7/12/2013,28.3
7/13/2013,28.8
7/14/2013,30.8
7/15/2013,24.9
7/16/2013,27.6
7/17/2013,24.6
7/18/2013,23.9
7/19/2013,24.2
7/20/2013,23.5
7/21/2013,24.8
7/22/2013,26.3
7/23/2013,22.9
7/24/2013,22.1
7/25/2013,24.8
7/26/2013,26.1
7/27/2013,23.8
7/28/2013,22.3
7/29/2013,27
7/30/2013,27.2
7/31/2013,23.4
8/1/2013,23.9
8/2/2013,22.3
8/3/2013,22.3
8/4/2013,22.9
8/5/2013,23.1
8/6/2013,22.4
8/7/2013,23.6
8/8/2013,23.8
8/9/2013,23
8/10/2013,22
8/11/2013,22.5
8/12/2013,23.5
8/13/2013,23.2
8/14/2013,21.2
8/15/2013,21.5
8/16/2013,27.4
8/17/2013,25
8/18/2013,22.8
8/19/2013,22.7
8/20/2013,26.8
8/21/2013,25.8
8/22/2013,25.4
8/23/2013,22.7
8/24/2013,23.4
8/25/2013,23.7
8/26/2013,24.8
8/27/2013,26.2
8/28/2013,26.6
8/29/2013,25.2
8/30/2013,22.4
8/31/2013,24.3
9/1/2013,26.8
9/2/2013,22.9
9/3/2013,21.9
9/4/2013,21.7
9/5/2013,22.2
9/6/2013,21.5
9/7/2013,28.2
9/8/2013,26.6
9/9/2013,27.7
9/10/2013,28
9/11/2013,25.4
9/12/2013,22.6
9/13/2013,22.4
9/14/2013,21.7
9/15/2013,26.7
9/16/2013,23.5
