Date,Average
1/1/13,30.6
1/2/13,30.2
1/3/13,29.7
1/4/13,28.0
1/5/13,26.9
1/6/13,26.6
1/7/13,27.4
1/8/13,27.2
1/9/13,27.7
1/10/13,31.1
1/11/13,29.7
1/12/13,30.2
1/13/13,27.5
1/14/13,26.5
1/15/13,26.8
1/16/13,27.1
1/17/13,27.8
1/18/13,27.9
1/19/13,31.8
1/20/13,29.0
1/21/13,28.4
1/22/13,32.1
1/23/13,34.5
1/24/13,29.4
1/25/13,28.4
1/26/13,27.6
1/27/13,27.3
1/28/13,27.4
1/29/13,29.7
1/30/13,28.0
1/31/13,26.4
2/1/13,31.1
2/2/13,27.8
2/3/13,27.4
2/4/13,26.5
2/5/13,26.7
2/6/13,28.8
2/7/13,29.2
2/8/13,26.1
2/9/13,26.1
2/10/13,28.2
2/11/13,29.0
2/12/13,26.8
2/13/13,25.7
2/14/13,25.2
2/15/13,25.2
2/16/13,25.0
2/17/13,26.5
2/18/13,27.1
2/19/13,34.0
2/20/13,40.5
2/21/13,33.7
2/22/13,30.3
2/23/13,29.9
2/24/13,30.4
2/25/13,29.0
2/26/13,32.3
2/27/13,28.8
2/28/13,30.0
3/1/13,28.6
3/2/13,26.7
3/3/13,26.9
3/4/13,26.4
3/5/13,26.9
3/6/13,26.9
3/7/13,27.9
3/8/13,27.7
3/9/13,33.7
3/10/13,31.6
3/11/13,30.5
3/12/13,31.2
3/13/13,34.7
3/14/13,36.8
3/15/13,31.3
3/16/13,30.4
3/17/13,28.9
3/18/13,26.4
3/19/13,27.3
3/20/13,26.8
3/21/13,25.9
3/22/13,25.9
3/23/13,27.4
3/24/13,35.4
3/25/13,33.7
3/26/13,34.1
3/27/13,36.7
3/28/13,34.4
3/29/13,36.3
3/30/13,46.5
3/31/13,40.1
4/1/13,35.8
4/2/13,36.2
4/3/13,42.5
4/4/13,37.4
4/5/13,38.1
4/6/13,34.2
4/7/13,40.1
4/8/13,38.4
4/9/13,35.7
4/10/13,35.5
4/11/13,37.0
4/12/13,33.1
4/13/13,36.8
4/14/13,39.0
4/15/13,35.8
4/16/13,40.7
4/17/13,35.3
4/18/13,47.8
4/19/13,41.0
4/20/13,34.2
4/21/13,33.2
4/22/13,33.8
4/23/13,33.1
4/24/13,30.2
4/25/13,29.3
4/26/13,29.6
4/27/13,31.9
4/28/13,32.9
4/29/13,38.4
4/30/13,42.8
5/1/13,41.4
5/2/13,40.5
5/3/13,39.9
5/4/13,42.8
5/5/13,37.1
5/6/13,32.6
5/7/13,30.0
5/8/13,34.7
5/9/13,41.6
5/10/13,39.2
5/11/13,41.1
5/12/13,36.0
5/13/13,34.0
5/14/13,34.0
5/15/13,34.3
5/16/13,31.2
5/17/13,28.6
5/18/13,31.5
5/19/13,38.3
5/20/13,40.2
5/21/13,37.7
5/22/13,33.8
5/23/13,32.3
5/24/13,30.6
5/25/13,30.2
5/26/13,34.3
5/27/13,33.4
5/28/13,32.9
5/29/13,30.6
5/30/13,33.9
5/31/13,32.2
6/1/13,34.9
6/2/13,30.2
6/3/13,28.2
6/4/13,31.2
6/5/13,30.7
6/6/13,25.7
6/7/13,30.6
6/8/13,28.2
6/9/13,26.5
6/10/13,29.2
6/11/13,29.8
6/12/13,30.1
6/13/13,26.6
6/14/13,25.7
6/15/13,31.2
6/16/13,25.9
6/17/13,25.7
6/18/13,28.9
6/19/13,32.1
6/20/13,29.6
6/21/13,33.5
6/22/13,34.4
6/23/13,31.1
6/24/13,36.5
6/25/13,34.4
6/26/13,34.4
6/27/13,28.3
6/28/13,27.7
6/29/13,29.5
6/30/13,27.8
7/1/13,30.1
7/2/13,26.1
