WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,WW Ortho-P,Chemical Dose,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total Air Flow ,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Air Flow at Field Conditions 3rd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL1,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,MLSS Reactor 1,VSS Reactor 1,MLSS Reactor 2,VSS Reactor 2,MLSS Reactor 3,VSS Reactor 3,Total COD in Reactor 1,Total COD in Reactor 2,Total COD in Reactor 3,Soluble BOD in Reactor 1,Soluble BOD in Reactor 2,Soluble BOD in Reactor 3,Total BOD in Reactor 1,Total BOD in Reactor 2,Total BOD in Reactor 3,SRT Total
m3/d,m3/d,m3/d,gP/m3,gN/m3,gCOD/m3,gP/m3,gFe/m3,,mgN/L,mg/L,mgP/L,mgCOD/L,mgN/L,kg/d,kg/d,m3/d,kg/d,cfm,cfm,cfm,%,gMgHPO4.3H2O/m3,m3/d,mg/L (g/m3),mg/L,m3/d,mgP/L,mgN/L,mgP/L,mgP/L,mgN/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mgCOD/L,mgCOD/L,mgCOD/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,Days
113562.354,66758.40568,180320.7597,3.60E+01,2.35E+01,6.10E+02,2.88E+01,51.92741363,,4.17107,0.587219,0.305166,26.1962,5.65061,58526.8,72060.45,1.63E+06,944.044,13711.8,17539.7,8605.68,3.6,0,1700,42388.5,42388.5,180084,0.01,4115.57,115.31,17326.5,0.000161811,23402.8,3876.22,23377.6,3852.96,23364.4,3840.91,6377.24,6330.38,6309.8,6.08848,1.35002,0.81887,978.096,948.87,936.348,16.5816
113562.354,68451.28639,182013.6404,2.55E+01,4.10E+01,7.37E+02,2.04E+01,36.78191799,,5.35353,0.518661,0.398906,36.8969,7.38013,52107.7,66342.8,2.10E+06,953.054,17396,22758.7,11286.8,3.29,0.0191567,1658.57,39120.4,40000,181802,0.01,5328.3,55.264,13711.4,0.000156815,20709.3,4594.19,20675.7,4562.31,20658.6,4546.46,7480.86,7420.3,7393.83,6.03045,1.24909,0.780911,1266.22,1228.56,1212.42,16.5033
104615.2939,0,104615.2939,2.01E+01,4.49E+01,6.99E+02,1.61E+01,29.02886665,,13.9618,0.422069,0.230844,20.0948,15.1177,33396.7,47215.6,1.84E+06,547.71,16564.2,19288.4,9326.9,2.96,0.0135906,1180.39,28649.5,40000,104480,0.01,6740.3,60.5294,15373.1,0.000495029,16867.8,4233.06,16830.4,4197.63,16811.5,4180.2,6850.3,6784.96,6756.61,6.10497,1.10378,0.686521,1076.61,1036.26,1019.12,22.7726
103905.5169,0,103905.5169,2.44E+01,4.87E+01,7.23E+02,1.95E+01,35.15918631,,16.2012,0.48442,0.215043,17.8722,17.2454,37357.4,51442,1.95E+06,543.905,17657.8,20351.7,9835.16,3.04,0.017079,1286.05,31015.3,40000,103754,0.01,6488.13,70.831,16610.2,0.000587148,19350.4,4543.33,19310.4,4505.54,19290.4,4487.19,7368.03,7299.38,7269.69,6.05326,1.08276,0.680288,1127.97,1085.68,1067.75,22.8462
102321.5096,0,102321.5096,2.36E+01,3.28E+01,7.22E+02,1.89E+01,34.07736519,,2.73598,0.456047,0.21733,18.3956,3.86622,35510.6,49253.6,1.60E+06,535.641,13466.6,17121.2,8728.75,3.02,0.0177376,1231.34,29794.1,40000,102178,0.01,5936.11,84.8861,16635.8,0.000104806,18212.5,4241.74,18176.6,4207.88,18158.3,4191.04,6881.08,6815.46,6787.46,6.84548,1.3003,0.791057,1051.44,1010.84,993.884,23.0209
113562.354,5816.53404,119378.888,3.15E+01,1.94E+01,7.22E+02,2.52E+01,45.43648692,,1.79607,0.575153,0.206966,16.1021,2.85045,46046.8,60574,1.81E+06,624.836,14805.8,19474.2,10000.8,3.18,0.0300628,1514.35,36025.2,40000,119192,0.01,5388.58,109.196,19092.5,6.53E-05,22952.9,4890.55,22913.6,4853.8,22893.8,4835.63,7966.6,7895.25,7864.79,7.12107,1.40928,0.857957,1205.12,1161.05,1142.62,21.2186
113562.354,64145.92521,177708.2792,2.66E+01,2.51E+01,6.16E+02,2.13E+01,38.40464966,,4.08881,0.481947,0.347808,31.5921,5.83941,48680.1,61897.6,1.64E+06,930.557,13836.4,17687.9,8698.11,3.29,0.0271772,1547.44,36740,40000,177511,0.01,4617.13,85.5004,15348.4,0.000147305,19224.6,3708.64,19199.2,3684.79,19185.8,3672.48,6063.78,6015.87,5994.87,6.10989,1.34424,0.816216,991.101,961.169,948.356,16.7471
82330.57949,0,82330.57949,2.51E+01,3.48E+01,4.69E+02,2.01E+01,36.24100743,,17.9815,0.355682,0.0820444,4.94288,18.3362,26431.6,36919.28,8.87E+05,431.036,8942.89,8907.55,3908.55,3,0.014475,922.982,22757.4,40000,82223.4,0.01,4651.73,138.222,19339.9,0.00143107,14162.5,1858.97,14148.6,1846.02,14140.6,1838.68,3026.8,2999.02,2986.62,6.18384,1.37509,0.78212,442.648,425.031,417.484,25.4971
113562.354,76507.24259,190069.5966,2.35E+01,3.00E+01,4.68E+02,1.88E+01,33.89706167,,7.02535,0.418936,0.340295,31.2425,8.72437,43233.4,53604,1.40E+06,995.474,12287.9,15148.5,6989.48,3.37,0.0196231,1340.1,32213.7,40000,189894,0.01,4046.77,83.9293,15341.8,0.000285131,16704.7,2913.54,16686.3,2896.43,16676.4,2887.3,4786.57,4751.15,4735.36,5.56398,1.37519,0.826488,768.616,746.362,736.71,16.027
113562.354,11127.27773,124689.6317,1.31E+01,4.23E+01,6.34E+02,1.05E+01,18.93186955,,13.2033,0.330793,0.290695,27.223,15.069,29378.2,42916.4,1.84E+06,653.03,16817.5,19162.7,9193.97,2.87,0.00879613,1072.91,26211.9,40000,124571,0.01,7233.18,35.8594,12293.2,0.000408673,13235.7,3838.51,13202.8,3806.98,13185.7,3791.28,6189.38,6130.14,6104.36,6.02917,1.14188,0.704716,1051.2,1014.4,998.715,20.7489
113562.354,22863.17607,136425.5301,3.60E+01,2.80E+01,5.32E+02,2.88E+01,51.92741363,,8.43003,0.552088,0.161794,11.0472,9.12331,47766.3,61364.8,1.39E+06,714.162,12612.6,14561.1,6922.38,3.26,0.438126,1534.12,36452.7,40000,136232,0.01,4140.6,169.108,21114.4,0.000444892,21991.7,3354.49,21968.6,3333.4,21956.3,3322.29,5513.4,5470.72,5451.95,6.14461,1.28024,0.759063,793.628,767.018,755.652,19.6587
113562.354,16345.22966,129907.5837,1.14E+01,2.84E+01,7.50E+02,9.11E+00,16.42565063,,1.11696,0.350829,0.368679,35.6489,3.63768,30986.3,44946.8,1.88E+06,680.35,15264.4,20341.3,10514.9,2.89,0.00751369,1123.67,27367,40000,129782,0.01,7266.89,31.7767,10072.3,2.90E-05,14052.5,4638.51,14013.7,4601.05,13993.8,4582.54,7484.91,7411.62,7380.33,7.2988,1.54055,0.934258,1277.42,1231.92,1212.84,20.294
