WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,WW Ortho-P,Chemical Dose,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total Air Flow ,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Air Flow at Field Conditions 3rd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL1,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,MLSS Reactor 1,VSS Reactor 1,MLSS Reactor 2,VSS Reactor 2,MLSS Reactor 3,VSS Reactor 3,Total COD in Reactor 1,Total COD in Reactor 2,Total COD in Reactor 3,Soluble BOD in Reactor 1,Soluble BOD in Reactor 2,Soluble BOD in Reactor 3,Total BOD in Reactor 1,Total BOD in Reactor 2,Total BOD in Reactor 3,SRT Total
m3/d,m3/d,m3/d,gP/m3,gN/m3,gCOD/m3,gP/m3,gFe/m3,,mgN/L,mg/L,mgP/L,mgCOD/L,mgN/L,kg/d,kg/d,m3/d,kg/d,cfm,cfm,cfm,%,gMgHPO4.3H2O/m3,m3/d,mg/L (g/m3),mg/L,m3/d,mgP/L,mgN/L,mgP/L,mgP/L,mgN/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mgCOD/L,mgCOD/L,mgCOD/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,mgO2/L,Days
113562.354,66758.40568,180320.7597,3.60E+01,2.35E+01,6.10E+02,2.88E+01,0.00E+00,,4.0516,0.15797,21.4999,48.2299,7.13193,19520.7,32499.48,1.63E+06,944.872,13886.1,17471.4,8542.64,2.51614,0.0652097,812.487,20170.4,40000,180242,21.0283,8652.3,356.006,3579.73,8.75E-05,6357.3,3061.6,6332.05,3038.41,6318.79,3026.36,4904.89,4857.77,4837.09,6.07793,1.3454,0.814091,982.299,952.557,939.8,16.6917
113562.354,68451.28639,182013.6404,2.55E+01,4.10E+01,7.37E+02,2.04E+01,0.00E+00,,5.16292,0.21817,14.6091,52.4424,8.50063,24505.5,38219.68,2.10E+06,953.641,17592.5,22747.7,11273.9,2.685,0.0373711,955.492,23511.9,40000,181914,14.0946,9043.03,141.844,3122.82,9.66E-05,8777.74,4061.54,8744.01,4029.56,8726.79,4013.63,6513.81,6452.69,6426.01,6.00601,1.24494,0.778418,1276.13,1237.86,1221.45,16.5904
104615.2939,0,104615.2939,2.01E+01,4.49E+01,6.99E+02,1.61E+01,0.00E+00,,13.9904,0.1713,17.7618,36.0504,16.4866,16491,30352.6,1.84E+06,548.069,16699.2,19139,9234.56,2.27708,0.0373299,758.815,18900.9,40000,104548,17.41,11244,146.245,3677.56,0.000345305,6907.94,3757.62,6870.85,3722.53,6852.01,3705.25,6002.7,5937.55,5909.4,6.12023,1.10204,0.683724,1072.86,1032.35,1015.19,22.9074
103905.5169,0,103905.5169,2.44E+01,4.87E+01,7.23E+02,1.95E+01,0.00E+00,,13.7676,0.180818,21.9051,37.2596,16.3342,16867.7,30942.2,1.92E+06,544.341,16837.6,20557.7,9758.78,2.28468,0.0503839,773.555,19250.4,40000,103837,21.5411,11488.7,188.729,3800.66,0.000330922,7292.12,3961.65,7252.72,3924.48,7232.73,3906.17,6335.22,6267.03,6237.33,6.14586,1.10256,0.684435,1119.65,1077.3,1059.22,22.9881
102321.5096,0,102321.5096,2.36E+01,3.28E+01,7.22E+02,1.89E+01,0.00E+00,,2.66641,0.161958,21.1677,37.3431,5.24726,15910.9,29637.2,1.60E+06,536.057,13566.5,16955.4,8627.55,2.25014,0.047907,740.93,18476,40000,102257,20.8045,10759,201.03,3883.8,6.82E-05,6532.12,3672.39,6496.57,3638.9,6478.32,3622.18,5868.38,5803.05,5775.2,6.84877,1.29919,0.788448,1046.72,1005.99,988.973,23.1693
113562.354,5816.53404,119378.888,3.15E+01,1.94E+01,7.22E+02,2.52E+01,0.00E+00,,1.79263,0.184588,27.5735,39.3439,4.50149,17724.4,31988.48,1.82E+06,625.438,15167.7,19443.1,9981.82,2.32201,0.0782887,799.712,19869,40000,119307,27.1909,10933.5,292.571,4087.46,3.91E-05,7442.85,4199.76,7403.45,4162.96,7383.52,4144.76,6722.68,6651.07,6620.52,6.99985,1.38951,0.848914,1210.95,1166.38,1147.7,21.36
113562.354,64145.92521,177708.2792,2.66E+01,2.51E+01,6.16E+02,2.13E+01,0.00E+00,,3.91754,0.163682,15.8654,48.0113,6.98922,20212.1,32923.2,1.64E+06,931.163,13961.8,17592,8628.88,2.57144,0.0417557,823.08,20419.9,40000,177626,15.396,8539.22,226.429,3304.57,8.42E-05,6586.05,3111.92,6560.68,3088.18,6547.26,3075.88,4987.21,4939.09,4918.01,6.10658,1.3431,0.813818,995.229,964.877,951.874,16.8482
82330.57949,0,82330.57949,2.51E+01,3.48E+01,4.69E+02,2.01E+01,0.00E+00,,17.8218,0.0553397,23.3728,24.5882,19.6744,7632.98,18224.04,8.92E+05,431.436,9045.37,8959.02,3863.57,1.75726,0.0531826,455.601,11566.7,40000,82299.6,23.1374,11092.4,508.606,4651.19,0.000785428,2235.4,1405.74,2221.61,1393.05,2213.59,1385.83,2218.98,2191.24,2178.98,6.22717,1.37981,0.777474,444.355,426.356,418.673,25.7345
113562.354,76507.24259,190069.5966,2.35E+01,3.00E+01,4.68E+02,1.88E+01,0.00E+00,,6.79688,0.138058,13.3531,45.4092,9.70489,17201.2,27082.32,1.40E+06,996.027,12388.7,15073.7,6925.68,2.65988,0.0349783,677.058,16950.7,40000,190000,12.9099,7401.44,248.892,3040.42,0.000158679,5550.58,2377.07,5532.27,2360.05,5522.31,2350.91,3820.3,3784.61,3768.71,5.55946,1.37184,0.821686,773.264,750.593,740.749,16.1224
