WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,MgCl2 Flow,NaOH Flow,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Struvite Pellet Collection,Sludge added per day,Total air flow,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor,Pellet Collection Flow,Struvite Biosolids
m3/d,m3/d,m3/d,gP/m3,gN/m3,gCOD/m3,m3/d,m3/d,,mgN/L,mg/L,mgP/L,mgCOD/L,mgN/L,kg/d,gMgNH4PO4.6H2O/m3,kg/d,m3/d,m3/d,m3/d,%,gMgHPO4.3H2O/m3,m3/d,mg/L (g/m3),mg/L,m3/d,mg/L,mgP/L,mgN/L,mgP/L,mgP/L,mgN/L,m3/d,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L,m3/d,gMgNH4PO4.6H2O/m3
113562.35,66758.41,180320.76,36,23.5,610,8.54,4.27,,7.69E-06,0.0788668,0.466971,22.5457,2.94896,32034,17094.5,73343.52,655507.3,611247,44260.3,2.77632,3419.08,1715.77,15279.9,40000,180216,0.018883,0.259173,57944.8,4039.82,145271,1.00E-06,236977,636977,3072.99,774.516,3.90051,441.661,3151.32,760.617,4.50923,425.712,236977,3148.19,757.86,1.64137,419.832,3154.67,755.321,2.37267,417.683,100,272914
113562.35,68451.29,182013.64,25.5,41,737,6.05,3.02,,0.0299702,0.0716063,0.276107,26.7726,3.46014,32454,40226.7,68895.84,794628.1,744066,50562.1,2.91026,516.528,1607.86,14353.3,40000,181907,0.0243067,0.0356848,87846.9,2783.04,108453,1.00E-06,238668,638668,2799.19,996.264,4.00129,564.244,2870.11,979.148,4.55465,544.464,238668,2864.91,975.453,1.498,537.562,2864.25,972.269,2.68451,535.139,100,586068
104615.29,0,104615.29,20.1,44.9,699,4.39,2.2,,0.67753,0.0647056,0.38703,38.1856,3.94053,21771.9,62357.9,50218.08,743681.7,706014,37667.7,2.65292,0.100649,1160.25,10462.1,40000,104510,0.0241275,0.0287044,87982.3,2194.3,87913.8,1.46E-05,161271,561271,2546.96,989.928,3.22399,531.068,2597.37,974.76,3.72378,513.9,161271,2590.37,968.022,1.20598,504.628,2588.22,965.1,2.29433,502.556,100,536248
103905.52,0,103905.52,24.4,48.7,723,5.29,2.65,,0.744161,0.0785911,0.409044,39.2097,4.0898,25405.6,64696.9,56376,798316.3,758203,40113.3,2.79812,0.2305,1306.84,11745,40000,103800,0.0262854,0.0355498,92180.7,2661.56,103712,1.74E-05,160561,560561,3092.4,1078.47,3.05212,570.077,3153.37,1061.88,3.58161,551.518,160561,3145.76,1054.48,1.12165,541.722,3143.64,1051.42,2.16614,539.458,100,661598
102321.51,0,102321.51,23.6,32.8,722,5.04,2.52,,0.237473,0.0706836,0.409238,39.1285,3.41608,21918.1,24985,52480.8,657478.3,620900,36578.3,2.57078,1406.87,1214,10933.5,40000,102217,0.0241328,0.0372042,74265.4,2641.65,99093.6,5.52E-06,158978,558978,2771.28,989.607,3.00726,539.801,2834.84,973.532,3.81457,521.565,158978,2828.25,968.929,0.845453,513.99,2827.34,965.313,2.14611,511.277,100,324258
113562.35,5816.53,119378.89,31.5,19.4,722,7.47,3.73,,0.182604,0.101047,0.444223,37.143,3.33573,31188.3,18774.9,70929.12,789984.7,744673,45311.7,2.76547,2738.15,1657.13,14776.9,40000,119274,0.0287242,0.0824839,67703.9,3574.48,131548,4.65E-06,176035,576035,3956.29,1177.6,2.90213,636.03,4049.34,1157.9,3.72915,613.542,176035,4038.78,1153.08,0.769922,605.762,4041.89,1148.97,1.97887,602.348,100,297417
113562.35,64145.93,177708.28,26.6,25.1,616,6.31,3.15,,8.69E-06,0.0609757,0.251301,23.5183,3.02551,26301.4,22902.7,60778.56,624924.1,584224,40700.1,2.69404,2111.95,1412.22,12662.2,40000,177604,0.0181825,0.0440613,67343.3,3182.12,117183,1.00E-06,234365,634365,2379.91,745.329,4.19706,428.954,2442.41,732.347,4.73385,413.851,234365,2439.28,729.676,1.83037,408.005,2439.03,727.302,2.7307,406.192,100,324310
82330.58,0,82330.58,25.1,34.8,469,4.31,2.16,,1.22963,0.036693,3.33558,26.4583,3.95979,11162.8,26905.8,31275.36,353703.7,334871,18832.7,2.25072,720.314,715.348,6515.7,40000,82229.9,0.00787793,3.093,69055.5,3202.58,99346.2,5.25E-05,138991,538991,1445.89,322.849,3.91943,182.416,1471.01,318.449,3.60877,176.983,138991,1468.55,315.715,2.11781,172.702,1467.72,315.117,2.14939,172.098,100,500444
113562.35,76507.24,190069.6,23.5,30,468,5.57,2.79,,0.000379735,0.0439926,0.190355,19.2012,3.08936,18657.3,27033.5,44745.12,521669.1,485278,36391.1,2.59124,1796.76,1030.79,9321.9,40000,189968,0.0126744,0.0429782,64712.3,3355.94,111308,1.00E-06,246729,646729,1718.16,519.958,5.08272,296.701,1761.81,510.966,5.39548,286.063,246729,1760.12,508.469,3.22157,281.057,1759.7,506.974,3.72907,279.826,100,354675
113562.35,11127.28,124689.63,13.1,42.3,634,3.11,1.55,,0.763525,0.0421802,1.6273,31.8815,3.94198,17234.3,47643.5,42338.4,741940.6,702098,39842.6,2.39224,0.0271957,974.094,8820.5,40000,124585,0.0202394,1.3349,78928.9,1151.82,54610.2,1.29E-05,181346,581346,1655.1,830.63,4.22235,454.69,1691.73,818.061,3.93222,439.386,181346,1685.78,811.612,1.80857,430.606,1687.21,809.576,2.13645,428.654,100,274130
113562.35,22863.18,136425.53,36,28,532,8.54,4.27,,0.348102,0.0734028,2.89274,25.0713,3.04584,24612.1,15056.6,60715.68,594689.5,559487,35202.5,2.59923,3622.7,1410.71,12649.1,40000,136324,0.0162718,2.65566,54106.6,4102.62,144500,1.10E-05,193085,593085,2863.11,668.096,3.66263,372.458,2928.55,656.765,3.97318,359.412,193085,2929.45,652.842,1.6173,352.916,2936.11,650.871,2.08331,351.211,100,226666
113562.35,16345.23,129907.58,11.4,28.4,750,2.7,1.35,,0.134171,0.0522492,0.364096,36.2409,3.37024,20826,37223.1,48251.04,747837.2,702631,45206.2,2.53421,0.109975,1113.63,10052.3,40000,129800,0.0266673,0.0324487,84656.9,1002.06,54992.6,2.08E-06,186561,586561,2047.31,1092.55,3.61356,608.069,2097.83,1074.97,4.21675,587.268,186561,2090.67,1070.67,1.04645,579.686,2089.97,1066.69,2.45102,576.573,100,263515
113562.35,90319.61,203881.96,12,32.9,469,2.85,1.42,,9.00E-06,0.0312559,0.155515,19.3596,3.33934,15530.9,44250.4,35426.592,530202.6,491648,38554.6,2.60479,0.0955615,812.082,7380.54,40000,203778,0.0130281,0.0218149,76238.2,1693.95,67926.7,1.00E-06,260539,660539,1226.25,534.241,5.5274,305.308,1253.84,525.321,5.97541,294.811,260539,1251.27,522.769,3.79801,289.736,1250.24,521.124,4.50111,288.551,100,390108
