WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,Acetate Flow,Final TP influent,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total air,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor
m3/d,m3/d,m3/d,gP/m3,gN/m3,gCOD/m3,m3/d,gP/m3,,mgN/L,mg/L,mgP/L,mgCOD/L,mgN/L,kg/d,kg/d,m3/d,kg/d,cfm,cfm,%,gMgHPO4.3H2O/m3,m3/d,mg/L (g/m3),mg/L,m3/d,mg/L,mgP/L,mgN/L,mgP/L,mgP/L,mgN/L,m3/d,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L
113562.354,66758.40568,180320.7597,3.60E+01,2.35E+01,6.10E+02,5.09E+01,22.67,,1.00E-06,0.118332,5.99007,50.0496,4.18477,48652.2,49265.6,1496332.965,945.43,34243.5,2452.68,3.10044,257.777,2369.06,20795.4,40000,180348,0.0491488,5.50568,92130.7,2270.21,129832,1.00E-06,237109,637109,4568.05,2020.08,1.89423,1320.73,4739.7,1977.99,3.90883,1272.93,237109,4708.18,1974.34,0.464707,1266.14,4733.27,1965.95,2.16043,1258.2
113562.354,68451.28639,182013.6404,2.55E+01,4.10E+01,7.37E+02,3.03E+00,15.91,,0.197681,0.110131,0.570854,54.4829,4.6241,47507.9,44361,961964.5672,954.06,22202.3,1388.99,3.10476,1779.22,2244.99,19760,40000,181994,0.0306283,0.0409894,75037.4,3410.43,127240,4.63E-06,238755,638755,4310.86,1255.1,2.85228,712.669,4412.43,1233.55,3.97446,688.626,238755,4405.84,1228.82,0.987145,680.832,4405.26,1225.13,2.32215,678.024
104615.2939,0,104615.2939,2.01E+01,4.49E+01,6.99E+02,0.00E+00,20.1,,0.740511,0.106179,0.421885,37.74,3.84188,32599.2,23220,831566.5742,548.335,19404,989.4,2.97919,957.718,1612.88,14396.6,40000,104599,0.0299705,0.0539861,86562.2,3297.41,127473,2.12E-05,161360,561360,4177.04,1227.79,2.32089,641.866,4256.41,1209.58,3.38268,622.194,161360,4248.9,1202.01,0.895077,612.281,4247.17,1198.82,1.9669,609.943
103905.5169,0,103905.5169,2.44E+01,4.87E+01,7.23E+02,8.91E-01,24.4,,0.810538,0.124,0.451879,38.8837,3.99967,36566.5,28924.3,908484.0561,544.609,21212.7,1067.03,3.01962,1356.55,1803.96,16033.8,40000,103888,0.0322274,0.067441,83942.7,3691.91,137771,2.44E-05,160649,560649,4875.16,1321.06,2.24925,689.6,4969.42,1300.86,3.32578,667.876,160649,4961.39,1292.53,0.85683,657.303,4959.99,1289.1,1.92419,654.709
102321.5096,0,102321.5096,2.36E+01,3.28E+01,7.22E+02,0.00E+00,23.6,,0.265144,0.116456,0.487789,38.7001,3.32095,32850.9,25986.7,758786.6593,536.306,17591.1,1017.44,2.84975,2928.1,1708.08,15214,40000,102304,0.0307097,0.105078,66105.9,3664.01,138394,8.03E-06,159065,559065,4570.36,1257.79,2.12494,665.659,4665.87,1237.92,3.49974,644.002,159065,4654.36,1232.6,0.568449,635.898,4658.24,1228.39,1.82985,632.54
113562.354,5816.53404,119378.888,3.15E+01,1.94E+01,7.22E+02,2.41E+01,29.97,,1.99E-06,0.158485,0.554454,41.0033,3.46843,46775.3,48926.1,1268209.772,625.817,29200.8,1900.87,3.01163,2489.2,2360.67,20725.5,40000,119379,0.0491565,0.146943,75656.3,3580.29,149015,1.00E-06,176140,576140,6188.14,2018.6,1.66268,1181.55,6359.5,1980.11,3.73954,1138.65,176140,6318.81,1974.78,0.327496,1130.44,6339.42,1966.26,2.10795,1122.58
113562.354,64145.92521,177708.2792,2.66E+01,2.51E+01,6.16E+02,1.97E+01,17,,1.75E-06,0.112388,0.549724,49.9483,4.09297,45496,44517.1,1043718.114,931.577,24031.6,1564.62,3.02066,2249.74,2249.03,19793.9,40000,177705,0.033639,0.0633829,71733.8,3542.84,132922,1.00E-06,234466,634466,4372.57,1381.08,2.36695,848.313,4504.66,1353.64,4.18907,817.852,234466,4491.21,1350.58,0.667016,811.277,4495.52,1345.56,2.25655,807.151
82330.57949,0,82330.57949,2.51E+01,3.48E+01,4.69E+02,2.23E+01,25.1,,0.214645,0.0965767,0.304477,26.6676,2.82749,24477.3,16661.3,793172.4636,431.643,18454.2,997.62,2.77337,1957.16,1362.41,12229.3,40000,82339.3,0.0266472,0.0504437,76342.3,3740.87,149764,4.52E-06,139100,539100,3757.64,1099.81,1.55081,679.735,3872.82,1075.81,3.61004,654.42,139100,3861.59,1071.14,0.474515,646.952,3863.07,1065.89,2.28254,642.965
113562.354,76507.24259,190069.5966,2.35E+01,3.00E+01,4.68E+02,2.57E+01,14.04,,2.18E-06,0.0932692,0.486879,47.7484,4.12931,40321.6,35955.3,975790.5736,996.422,22490.4,1439.96,2.99465,2000.44,2016.03,17834.7,40000,190075,0.0282931,0.0296631,71351.1,3448.11,131749,1.00E-06,246836,646836,3614.35,1163.54,2.37217,750.178,3737.75,1138.63,4.38538,723.008,246836,3731.17,1136.08,0.865295,716.89,3730.77,1131.72,2.53887,713.607
