WW Influent,Rain Influent,Total influent,WW TP,WW TKN,WW COD,WW Ortho-P,Acetate Flow,,Nitrate Effluent,TSS Effluent,TP Effluent,COD Effluent,TN Effluent,Mass of Hauled Sludge,Sludge added per day,Total air,dailychemconsumptionEffluent,Air Flow at Field Conditions 1st AER Reactor,Air Flow at Field Conditions 2nd AER Reactor,Percent of Solids in Digester Effluent,xmghpo4RL2,Influent Flow to Digester,TSS (waste activated sludge + primary clarifier underflow),Influent TSS to Digester,Effluent Flow,VSS Effluent,Ortho-P Effluent,TN Hauled Sludge,Ortho-P Hauled Sludge,TP Hauled Sludge,Nitrate Hauled Sludge,Effluent Flow ANA Reactor,Effluent Flow 1st ANX Reactor,MLSS 1st ANX Reactor,MLVSS 1st ANX Reactor,Soluble BOD 1st ANX Reactor Effluent,Total BOD 1st ANX Reactor Effluent,MLSS 1st AER Reactor,MLVSS 1st AER Reactor,Soluble BOD 1st AER Reactor Effluent,Total BOD 1st AER Reactor Effluent,Effluent Flow 2nd ANX Reactor,MLSS 2nd ANX Reactor,MLVSS 2nd ANX Reactor,Soluble BOD 2nd ANX Reactor,Total BOD 2nd ANX Reactor,MLSS 2nd AER Reactor,MLVSS 2nd AER Reactor,Soluble BOD 2nd AER Reactor,Total BOD 2nd AER Reactor
m3/d,m3/d,m3/d,gP/m3,gN/m3,gCOD/m3,gP/m3,m3/d,,mgN/L,mg/L,mgP/L,mgCOD/L,mgN/L,kg/d,kg/d,m3/d,kg/d,cfm,cfm,%,gMgHPO4.3H2O/m3,m3/d,mg/L (g/m3),mg/L,m3/d,mg/L,mgP/L,mgN/L,mgP/L,mgP/L,mgN/L,m3/d,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L,m3/d,mg/L,mg/L,mgO2/L,mgO2/L,mg/L,mg/L,mgO2/L,mgO2/L
113562.354,66758.40568,180320.8,3.60E+01,2.35E+01,6.10E+02,2.88E+01,0.00E+00,,0.10674,0.10806,4.63512,49.7505,4.11756,43985.9,42545.98043,755313.3375,945.172,17280.4,1242.96,2.98697,3686.15,2197.43,19361.7,40000,180299,0.0231727,4.14418,54164.1,4195.42,151264,3.35E-06,237060,637060,4222.26,949.943,2.92678,536.244,4314.66,933.439,3.99546,517.913,237060,4308.12,930.059,1.13247,511.456,4322.4,926.909,1.96428,508.805
113562.354,68451.28639,182013.6,2.55E+01,4.10E+01,7.37E+02,2.04E+01,0.00E+00,,0.23458,0.10882,0.577068,54.396,4.6461,47059.1,43517.448,919206.5813,954.045,21212.2,1330.49,3.10186,1919.41,2223,19576,40000,181991,0.0291276,0.0471025,73039.2,3467.75,128738,5.89E-06,238752,638752,4263.5,1193.16,2.94631,667.354,4359.03,1173.26,3.93093,645.121,238752,4353.18,1168.45,1.07928,637.341,4352.8,1165.1,2.26084,634.775
104615.2939,0,104615.3,2.01E+01,4.49E+01,6.99E+02,1.61E+01,0.00E+00,,0.740511,0.106179,0.421885,37.74,3.84188,32599.2,23219.98821,831566.5742,548.335,19404,989.4,2.97919,957.72,1612.88,14396.6,40000,104599,0.0299705,0.0539861,86562.2,3297.41,127473,2.12E-05,161360,561360,4177.04,1227.79,2.32089,641.866,4256.41,1209.58,3.38268,622.194,161360,4248.9,1202.01,0.895077,612.281,4247.17,1198.82,1.9669,609.943
103905.5169,0,103905.5,2.44E+01,4.87E+01,7.23E+02,1.95E+01,0.00E+00,,0.835426,0.123468,0.461158,38.8271,4.01988,36448.8,28739.63165,894762.0292,544.605,20892.9,1050.31,3.01854,1396.13,1798.07,15983.6,40000,103888,0.0316657,0.0766956,83379.1,3709.09,138238,2.58E-05,160649,560649,4855.25,1297.81,2.28729,673.373,4947.49,1278.2,3.30676,652.287,160649,4939.86,1269.91,0.885689,641.789,4938.71,1266.63,1.88399,639.289
102321.5096,0,102321.5,2.36E+01,3.28E+01,7.22E+02,1.89E+01,0.00E+00,,0.265144,0.116456,0.487789,38.7001,3.32095,32850.9,25986.72912,758786.6593,536.306,17591.1,1017.44,2.84975,2928.1,1708.08,15214,40000,102304,0.0307097,0.105078,66105.9,3664.01,138394,8.03E-06,159065,559065,4570.36,1257.79,2.12494,665.659,4665.87,1237.92,3.49974,644.002,159065,4654.36,1232.6,0.568449,635.898,4658.24,1228.39,1.82985,632.54
113562.354,5816.53404,119378.9,3.15E+01,1.94E+01,7.22E+02,2.52E+01,0.00E+00,,0.206353,0.148085,0.821135,40.5231,3.41703,43454.5,43845.02141,894236.4232,625.697,20648.4,1281.92,2.93748,3834.75,2231.56,19647.7,40000,119357,0.034227,0.411206,59202.7,4320.59,156206,6.67E-06,176118,576118,5805.76,1402.81,2.18459,750.503,5929.25,1379.37,3.51317,724.594,176118,5908.38,1374.05,0.561517,716.441,5923.41,1369.08,1.77411,712.179
113562.354,64145.92521,177708.3,2.66E+01,2.51E+01,6.16E+02,2.13E+01,0.00E+00,,0.118498,0.10199,0.679866,49.6052,4.10794,41990.8,38160.74373,747683.6916,931.483,17184.4,1151.85,2.98822,3273.65,2078.37,18360.9,40000,177687,0.0234018,0.193275,57361.5,3910.88,142776,3.51E-06,234448,634448,3989.24,958.784,2.9243,540.471,4079.05,942.385,3.99273,522.225,234448,4074.1,938.947,1.12373,515.703,4079.58,936.073,2.01781,513.378
82330.57949,0,82330.6,2.51E+01,3.48E+01,4.69E+02,2.01E+01,0.00E+00,,1.2668,0.0469011,10.9671,26.0506,3.85456,15671.8,7359.227215,385133.1591,431.551,8964.26,480.774,2.57769,1372.94,900.76,8170.02,40000,82321.6,0.0100461,10.7225,71943.8,3067.2,128953,6.14E-05,139083,539083,1848.91,411.363,3.03486,226.083,1879.43,405.804,3.20241,219.924,139083,1876.95,402.603,1.70324,215.214,1876.05,401.845,1.85349,214.586
113562.354,76507.24259,190069.6,2.35E+01,3.00E+01,4.68E+02,1.88E+01,0.00E+00,,0.221267,0.0714855,2.58132,47.3767,4.4067,32968.5,24046.49965,586230.336,996.307,13415.1,961.656,2.93467,3134.32,1641.87,14645.8,40000,190053,0.0152048,2.12633,52673.3,3660.08,137211,7.11E-06,246814,646814,2793.38,623.061,3.34335,354.226,2850.84,612.879,4.05144,342.925,246814,2853.75,609.72,1.9274,337.357,2859.42,608.193,2.28212,336.008
113562.354,11127.27773,124689.6,1.31E+01,4.23E+01,6.34E+02,1.05E+01,0.00E+00,,0.812809,0.0781332,0.402776,38.6249,4.07132,28965.9,17860.60508,804498.5998,653.581,18750.3,979.283,2.95185,1.1,1411.37,12654.8,40000,124676,0.0266009,0.036252,92059.3,2433.86,102824,1.90E-05,181437,581437,3078.03,1089.14,2.67865,581.924,3134.14,1073.56,3.52767,564.732,181437,3127.26,1066.59,1.22535,555.388,3125.33,1064.04,2.16488,553.593
113562.354,22863.17607,136425.5,3.60E+01,2.80E+01,5.32E+02,2.88E+01,0.00E+00,,0.396798,0.0943592,11.2936,37.2644,3.51582,31599,25352.91965,664143.6965,715.089,15356.4,931.109,2.81111,3694,1686.72,15030.9,40000,136409,0.0206805,10.927,55701.4,4173.65,152509,1.35E-05,193170,593170,3693.2,847.793,2.71666,464.652,3767.98,834.112,3.62529,449.644,193170,3765.94,829.65,1.15035,442.551,3774.37,827.221,1.80748,440.581
